,,,,,,,
,時間軸（月）コード,時間軸（月）,地域コード,地域,表章単位,単位,１Ｌ
,2022001111,2022年11月,01100,札幌市,円,,165
,2022001111,2022年11月,01202,函館市,円,,166
,2022001111,2022年11月,01204,旭川市,円,,166
,2022001111,2022年11月,02201,青森市,円,,165
,2022001111,2022年11月,02203,八戸市,円,,161
,2022001111,2022年11月,03201,盛岡市,円,,157
,2022001111,2022年11月,04100,仙台市,円,,160
,2022001111,2022年11月,05201,秋田市,円,,161
,2022001111,2022年11月,06201,山形市,円,,176
,2022001111,2022年11月,07201,福島市,円,,175
,2022001111,2022年11月,07203,郡山市,円,,165
,2022001111,2022年11月,08201,水戸市,円,,160
,2022001111,2022年11月,08202,日立市,円,,163
,2022001111,2022年11月,09201,宇都宮市,円,,165
,2022001111,2022年11月,09208,小山市,円,,160
,2022001111,2022年11月,10201,前橋市,円,,168
,2022001111,2022年11月,11100,さいたま市,円,,164
,2022001111,2022年11月,11202,熊谷市,円,,163
,2022001111,2022年11月,11203,川口市,円,,166
,2022001111,2022年11月,11208,所沢市,円,,165
,2022001111,2022年11月,12100,千葉市,円,,160
,2022001111,2022年11月,12212,佐倉市,円,,168
,2022001111,2022年11月,12227,浦安市,円,,159
,2022001111,2022年11月,13100,東京都区部,円,,167
,2022001111,2022年11月,13201,八王子市,円,,157
,2022001111,2022年11月,13202,立川市,円,,165
,2022001111,2022年11月,13206,府中市,円,,166
,2022001111,2022年11月,14100,横浜市,円,,164
,2022001111,2022年11月,14130,川崎市,円,,163
,2022001111,2022年11月,14150,相模原市,円,,165
,2022001111,2022年11月,14201,横須賀市,円,,169
,2022001111,2022年11月,15100,新潟市,円,,162
,2022001111,2022年11月,15202,長岡市,円,,163
,2022001111,2022年11月,16201,富山市,円,,167
,2022001111,2022年11月,17201,金沢市,円,,170
,2022001111,2022年11月,18201,福井市,円,,167
,2022001111,2022年11月,19201,甲府市,円,,169
,2022001111,2022年11月,20201,長野市,円,,178
,2022001111,2022年11月,20202,松本市,円,,176
,2022001111,2022年11月,21201,岐阜市,円,,174
,2022001111,2022年11月,22100,静岡市,円,,172
,2022001111,2022年11月,22130,浜松市,円,,168
,2022001111,2022年11月,22210,富士市,円,,167
,2022001111,2022年11月,23100,名古屋市,円,,166
,2022001111,2022年11月,23202,岡崎市,円,,158
,2022001111,2022年11月,24201,津市,円,,168
,2022001111,2022年11月,24204,松阪市,円,,166
,2022001111,2022年11月,25201,大津市,円,,164
,2022001111,2022年11月,26100,京都市,円,,177
,2022001111,2022年11月,27100,大阪市,円,,174
,2022001111,2022年11月,27140,堺市,円,,168
,2022001111,2022年11月,27210,枚方市,円,,167
,2022001111,2022年11月,27227,東大阪市,円,,168
,2022001111,2022年11月,28100,神戸市,円,,169
,2022001111,2022年11月,28201,姫路市,円,,172
,2022001111,2022年11月,28204,西宮市,円,,165
,2022001111,2022年11月,28207,伊丹市,円,,167
,2022001111,2022年11月,29201,奈良市,円,,170
,2022001111,2022年11月,30201,和歌山市,円,,170
,2022001111,2022年11月,31201,鳥取市,円,,170
,2022001111,2022年11月,32201,松江市,円,,166
,2022001111,2022年11月,33100,岡山市,円,,163
,2022001111,2022年11月,34100,広島市,円,,174
,2022001111,2022年11月,34207,福山市,円,,167
,2022001111,2022年11月,35203,山口市,円,,168
,2022001111,2022年11月,35202,宇部市,円,,166
,2022001111,2022年11月,36201,徳島市,円,,164
,2022001111,2022年11月,37201,高松市,円,,172
,2022001111,2022年11月,38201,松山市,円,,169
,2022001111,2022年11月,38202,今治市,円,,166
,2022001111,2022年11月,39201,高知市,円,,175
,2022001111,2022年11月,40130,福岡市,円,,166
,2022001111,2022年11月,40100,北九州市,円,,164
,2022001111,2022年11月,41201,佐賀市,円,,179
,2022001111,2022年11月,42201,長崎市,円,,177
,2022001111,2022年11月,42202,佐世保市,円,,176
,2022001111,2022年11月,43100,熊本市,円,,170
,2022001111,2022年11月,44201,大分市,円,,182
,2022001111,2022年11月,45201,宮崎市,円,,174
,2022001111,2022年11月,46201,鹿児島市,円,,180
,2022001111,2022年11月,47201,那覇市,円,,173
